issue,project,run_id,run_name,run_url,state,created_at,finished_at,sweep_subversion,sweep_version,data_subversion,model_size,num_params,num_params_source,num_tokens,num_tokens_source,epochs,epochs_source,weight_decay,weight_decay_source,learning_rate,learning_rate_source,batch_size,batch_size_source,val_loss,val_loss_key,summary_step,tags_json
75,eric-czech/marin,prot-exp75-cv1-1_5b-e1-lr7e-4-wd0p05-v1-69de44,prot-exp75-cv1-1_5b-e1-lr7e-4-wd0p05-v1,https://wandb.ai/eric-czech/marin/runs/prot-exp75-cv1-1_5b-e1-lr7e-4-wd0p05-v1-69de44,finished,2026-06-13T03:35:25Z,2026-06-14T12:20:23Z,1,v1,,1_5b,1471369216,tag:params_exact,4676648960,tag:tokens_exact,1,tag:epochs,0.05,config:optimizer.weight_decay,0.0007,config:optimizer.learning_rate,128,config:trainer.train_batch_size,3.0457732677459717,eval/contacts-v1-val/loss,4459,"[""1_5b"",""contacts-v1"",""epochs=1"",""exp75"",""grad_accum=4"",""lr=0.0007"",""params=1.471B"",""params_exact=1471369216"",""protein"",""qwen3"",""steps=4460"",""sweep=v1"",""tokens=4.677B"",""tokens_exact=4676648960"",""tpu=v6e-4"",""unmasked"",""wd=0.05""]"
75,eric-czech/marin,prot-exp75-cv1-1_5b-e1-lr7e-4-wd0p1-v1-1c0e76,prot-exp75-cv1-1_5b-e1-lr7e-4-wd0p1-v1,https://wandb.ai/eric-czech/marin/runs/prot-exp75-cv1-1_5b-e1-lr7e-4-wd0p1-v1-1c0e76,finished,2026-06-13T03:35:36Z,2026-06-14T12:34:03Z,1,v1,,1_5b,1471369216,tag:params_exact,4676648960,tag:tokens_exact,1,tag:epochs,0.1,config:optimizer.weight_decay,0.0007,config:optimizer.learning_rate,128,config:trainer.train_batch_size,3.052156686782837,eval/contacts-v1-val/loss,4459,"[""1_5b"",""contacts-v1"",""epochs=1"",""exp75"",""grad_accum=4"",""lr=0.0007"",""params=1.471B"",""params_exact=1471369216"",""protein"",""qwen3"",""steps=4460"",""sweep=v1"",""tokens=4.677B"",""tokens_exact=4676648960"",""tpu=v6e-4"",""unmasked"",""wd=0.1""]"
75,eric-czech/marin,prot-exp75-cv1-1_5b-e1-lr1e-3-wd0p02-v1-d4c2f4,prot-exp75-cv1-1_5b-e1-lr1e-3-wd0p02-v1,https://wandb.ai/eric-czech/marin/runs/prot-exp75-cv1-1_5b-e1-lr1e-3-wd0p02-v1-d4c2f4,finished,2026-06-14T12:56:28Z,2026-06-14T20:33:19Z,1,v1,,1_5b,1471369216,tag:params_exact,4676648960,tag:tokens_exact,1,tag:epochs,0.02,config:optimizer.weight_decay,0.001,config:optimizer.learning_rate,128,config:trainer.train_batch_size,3.0872435569763184,eval/contacts-v1-val/loss,4459,"[""1_5b"",""contacts-v1"",""epochs=1"",""exp75"",""grad_accum=1"",""lr=0.001"",""params=1.471B"",""params_exact=1471369216"",""protein"",""qwen3"",""steps=4460"",""sweep=v1"",""tokens=4.677B"",""tokens_exact=4676648960"",""tpu=v5p-32"",""unmasked"",""wd=0.02""]"
75,eric-czech/marin,prot-exp75-cv1-1_5b-e1-lr1e-3-wd0p05-v1-902225,prot-exp75-cv1-1_5b-e1-lr1e-3-wd0p05-v1,https://wandb.ai/eric-czech/marin/runs/prot-exp75-cv1-1_5b-e1-lr1e-3-wd0p05-v1-902225,finished,2026-06-14T13:41:42Z,2026-06-15T00:21:21Z,1,v1,,1_5b,1471369216,tag:params_exact,4676648960,tag:tokens_exact,1,tag:epochs,0.05,config:optimizer.weight_decay,0.001,config:optimizer.learning_rate,128,config:trainer.train_batch_size,3.1615676879882812,eval/contacts-v1-val/loss,4459,"[""1_5b"",""contacts-v1"",""epochs=1"",""exp75"",""grad_accum=1"",""lr=0.001"",""params=1.471B"",""params_exact=1471369216"",""protein"",""qwen3"",""steps=4460"",""sweep=v1"",""tokens=4.677B"",""tokens_exact=4676648960"",""tpu=v5p-32"",""unmasked"",""wd=0.05""]"
75,eric-czech/marin,prot-exp75-cv1-1_5b-e1-lr1e-3-wd0p1-v1-c08ad5,prot-exp75-cv1-1_5b-e1-lr1e-3-wd0p1-v1,https://wandb.ai/eric-czech/marin/runs/prot-exp75-cv1-1_5b-e1-lr1e-3-wd0p1-v1-c08ad5,finished,2026-06-14T13:41:48Z,2026-06-15T05:48:09Z,1,v1,,1_5b,1471369216,tag:params_exact,4676648960,tag:tokens_exact,1,tag:epochs,0.1,config:optimizer.weight_decay,0.001,config:optimizer.learning_rate,128,config:trainer.train_batch_size,3.152276039123535,eval/contacts-v1-val/loss,4459,"[""1_5b"",""contacts-v1"",""epochs=1"",""exp75"",""grad_accum=2"",""lr=0.001"",""params=1.471B"",""params_exact=1471369216"",""protein"",""qwen3"",""steps=4460"",""sweep=v1"",""tokens=4.677B"",""tokens_exact=4676648960"",""tpu=v6e-8"",""unmasked"",""wd=0.1""]"
75,eric-czech/marin,prot-exp75-cv1-1_5b-e2-lr1.75e-4-wd0p02-v1-49b9b6,prot-exp75-cv1-1_5b-e2-lr1.75e-4-wd0p02-v1,https://wandb.ai/eric-czech/marin/runs/prot-exp75-cv1-1_5b-e2-lr1.75e-4-wd0p02-v1-49b9b6,finished,2026-06-13T15:24:16Z,2026-06-15T08:09:09Z,1,v1,,1_5b,1471369216,tag:params_exact,9353297920,tag:tokens_exact,2,tag:epochs,0.02,config:optimizer.weight_decay,0.000175,config:optimizer.learning_rate,128,config:trainer.train_batch_size,3.0472519397735596,eval/contacts-v1-val/loss,8919,"[""1_5b"",""contacts-v1"",""epochs=2"",""exp75"",""grad_accum=2"",""lr=0.000175"",""params=1.471B"",""params_exact=1471369216"",""protein"",""qwen3"",""steps=8920"",""sweep=v1"",""tokens=9.353B"",""tokens_exact=9353297920"",""tpu=v6e-8"",""unmasked"",""wd=0.02""]"
75,eric-czech/marin,prot-exp75-cv1-1_5b-e2-lr1.75e-4-wd0p05-v1-77cf9a,prot-exp75-cv1-1_5b-e2-lr1.75e-4-wd0p05-v1,https://wandb.ai/eric-czech/marin/runs/prot-exp75-cv1-1_5b-e2-lr1.75e-4-wd0p05-v1-77cf9a,finished,2026-06-13T15:24:14Z,2026-06-15T01:28:07Z,1,v1,,1_5b,1471369216,tag:params_exact,9353297920,tag:tokens_exact,2,tag:epochs,0.05,config:optimizer.weight_decay,0.000175,config:optimizer.learning_rate,128,config:trainer.train_batch_size,3.0374515056610107,eval/contacts-v1-val/loss,8919,"[""1_5b"",""contacts-v1"",""epochs=2"",""exp75"",""grad_accum=1"",""lr=0.000175"",""params=1.471B"",""params_exact=1471369216"",""protein"",""qwen3"",""steps=8920"",""sweep=v1"",""tokens=9.353B"",""tokens_exact=9353297920"",""tpu=v5p-16"",""unmasked"",""wd=0.05""]"
75,eric-czech/marin,prot-exp75-cv1-1_5b-e2-lr1.75e-4-wd0p1-v1-f40ea7,prot-exp75-cv1-1_5b-e2-lr1.75e-4-wd0p1-v1,https://wandb.ai/eric-czech/marin/runs/prot-exp75-cv1-1_5b-e2-lr1.75e-4-wd0p1-v1-f40ea7,finished,2026-06-13T15:12:09Z,2026-06-15T00:01:02Z,1,v1,,1_5b,1471369216,tag:params_exact,9353297920,tag:tokens_exact,2,tag:epochs,0.1,config:optimizer.weight_decay,0.000175,config:optimizer.learning_rate,128,config:trainer.train_batch_size,3.0414133071899414,eval/contacts-v1-val/loss,8919,"[""1_5b"",""contacts-v1"",""epochs=2"",""exp75"",""grad_accum=2"",""lr=0.000175"",""params=1.471B"",""params_exact=1471369216"",""protein"",""qwen3"",""steps=8920"",""sweep=v1"",""tokens=9.353B"",""tokens_exact=9353297920"",""tpu=v6e-8"",""unmasked"",""wd=0.1""]"
75,eric-czech/marin,prot-exp75-cv1-1_5b-e2-lr2.5e-4-wd0p02-v1-185e8b,prot-exp75-cv1-1_5b-e2-lr2.5e-4-wd0p02-v1,https://wandb.ai/eric-czech/marin/runs/prot-exp75-cv1-1_5b-e2-lr2.5e-4-wd0p02-v1-185e8b,finished,2026-06-13T15:24:15Z,2026-06-14T10:38:07Z,1,v1,,1_5b,1471369216,tag:params_exact,9353297920,tag:tokens_exact,2,tag:epochs,0.02,config:optimizer.weight_decay,0.00025,config:optimizer.learning_rate,128,config:trainer.train_batch_size,3.010612964630127,eval/contacts-v1-val/loss,8919,"[""1_5b"",""contacts-v1"",""epochs=2"",""exp75"",""grad_accum=1"",""lr=0.00025"",""params=1.471B"",""params_exact=1471369216"",""protein"",""qwen3"",""steps=8920"",""sweep=v1"",""tokens=9.353B"",""tokens_exact=9353297920"",""tpu=v5p-32"",""unmasked"",""wd=0.02""]"
75,eric-czech/marin,prot-exp75-cv1-1_5b-e2-lr2.5e-4-wd0p05-v1-a1c11c,prot-exp75-cv1-1_5b-e2-lr2.5e-4-wd0p05-v1,https://wandb.ai/eric-czech/marin/runs/prot-exp75-cv1-1_5b-e2-lr2.5e-4-wd0p05-v1-a1c11c,finished,2026-06-13T14:01:28Z,2026-06-14T00:18:51Z,1,v1,,1_5b,1471369216,tag:params_exact,9353297920,tag:tokens_exact,2,tag:epochs,0.05,config:optimizer.weight_decay,0.00025,config:optimizer.learning_rate,128,config:trainer.train_batch_size,3.0213475227355957,eval/contacts-v1-val/loss,8919,"[""1_5b"",""contacts-v1"",""epochs=2"",""exp75"",""grad_accum=1"",""lr=0.00025"",""params=1.471B"",""params_exact=1471369216"",""protein"",""qwen3"",""steps=8920"",""sweep=v1"",""tokens=9.353B"",""tokens_exact=9353297920"",""tpu=v5p-64"",""unmasked"",""wd=0.05""]"
75,eric-czech/marin,prot-exp75-cv1-1_5b-e2-lr2.5e-4-wd0p1-v1-5dd059,prot-exp75-cv1-1_5b-e2-lr2.5e-4-wd0p1-v1,https://wandb.ai/eric-czech/marin/runs/prot-exp75-cv1-1_5b-e2-lr2.5e-4-wd0p1-v1-5dd059,finished,2026-06-13T15:24:27Z,2026-06-14T11:47:02Z,1,v1,,1_5b,1471369216,tag:params_exact,9353297920,tag:tokens_exact,2,tag:epochs,0.1,config:optimizer.weight_decay,0.00025,config:optimizer.learning_rate,128,config:trainer.train_batch_size,3.015690803527832,eval/contacts-v1-val/loss,8919,"[""1_5b"",""contacts-v1"",""epochs=2"",""exp75"",""grad_accum=1"",""lr=0.00025"",""params=1.471B"",""params_exact=1471369216"",""protein"",""qwen3"",""steps=8920"",""sweep=v1"",""tokens=9.353B"",""tokens_exact=9353297920"",""tpu=v5p-32"",""unmasked"",""wd=0.1""]"
75,eric-czech/marin,prot-exp75-cv1-1_5b-e2-lr3.5e-4-wd0p02-v1-ec7f24,prot-exp75-cv1-1_5b-e2-lr3.5e-4-wd0p02-v1,https://wandb.ai/eric-czech/marin/runs/prot-exp75-cv1-1_5b-e2-lr3.5e-4-wd0p02-v1-ec7f24,finished,2026-06-13T13:49:59Z,2026-06-14T06:49:58Z,1,v1,,1_5b,1471369216,tag:params_exact,9353297920,tag:tokens_exact,2,tag:epochs,0.02,config:optimizer.weight_decay,0.00035,config:optimizer.learning_rate,128,config:trainer.train_batch_size,3.000753879547119,eval/contacts-v1-val/loss,8919,"[""1_5b"",""contacts-v1"",""epochs=2"",""exp75"",""grad_accum=1"",""lr=0.00035"",""params=1.471B"",""params_exact=1471369216"",""protein"",""qwen3"",""steps=8920"",""sweep=v1"",""tokens=9.353B"",""tokens_exact=9353297920"",""tpu=v5p-32"",""unmasked"",""wd=0.02""]"
75,eric-czech/marin,prot-exp75-cv1-1_5b-e2-lr3.5e-4-wd0p05-v1-9f1b24,prot-exp75-cv1-1_5b-e2-lr3.5e-4-wd0p05-v1,https://wandb.ai/eric-czech/marin/runs/prot-exp75-cv1-1_5b-e2-lr3.5e-4-wd0p05-v1-9f1b24,finished,2026-06-13T14:23:30Z,2026-06-14T13:24:58Z,1,v1,,1_5b,1471369216,tag:params_exact,9353297920,tag:tokens_exact,2,tag:epochs,0.05,config:optimizer.weight_decay,0.00035,config:optimizer.learning_rate,128,config:trainer.train_batch_size,2.999540328979492,eval/contacts-v1-val/loss,8919,"[""1_5b"",""contacts-v1"",""epochs=2"",""exp75"",""grad_accum=1"",""lr=0.00035"",""params=1.471B"",""params_exact=1471369216"",""protein"",""qwen3"",""steps=8920"",""sweep=v1"",""tokens=9.353B"",""tokens_exact=9353297920"",""tpu=v6e-16"",""unmasked"",""wd=0.05""]"
75,eric-czech/marin,prot-exp75-cv1-1_5b-e2-lr3.5e-4-wd0p1-v1-ced73d,prot-exp75-cv1-1_5b-e2-lr3.5e-4-wd0p1-v1,https://wandb.ai/eric-czech/marin/runs/prot-exp75-cv1-1_5b-e2-lr3.5e-4-wd0p1-v1-ced73d,finished,2026-06-13T13:49:42Z,2026-06-14T20:58:31Z,1,v1,,1_5b,1471369216,tag:params_exact,9353297920,tag:tokens_exact,2,tag:epochs,0.1,config:optimizer.weight_decay,0.00035,config:optimizer.learning_rate,128,config:trainer.train_batch_size,2.996994972229004,eval/contacts-v1-val/loss,8919,"[""1_5b"",""contacts-v1"",""epochs=2"",""exp75"",""grad_accum=1"",""lr=0.00035"",""params=1.471B"",""params_exact=1471369216"",""protein"",""qwen3"",""steps=8920"",""sweep=v1"",""tokens=9.353B"",""tokens_exact=9353297920"",""tpu=v5p-16"",""unmasked"",""wd=0.1""]"
75,eric-czech/marin,prot-exp75-cv1-1_5b-e2-lr5e-4-wd0p02-v1-581646,prot-exp75-cv1-1_5b-e2-lr5e-4-wd0p02-v1,https://wandb.ai/eric-czech/marin/runs/prot-exp75-cv1-1_5b-e2-lr5e-4-wd0p02-v1-581646,finished,2026-06-13T15:13:01Z,2026-06-14T12:55:17Z,1,v1,,1_5b,1471369216,tag:params_exact,9353297920,tag:tokens_exact,2,tag:epochs,0.02,config:optimizer.weight_decay,0.0005,config:optimizer.learning_rate,128,config:trainer.train_batch_size,2.98576283454895,eval/contacts-v1-val/loss,8919,"[""1_5b"",""contacts-v1"",""epochs=2"",""exp75"",""grad_accum=1"",""lr=0.0005"",""params=1.471B"",""params_exact=1471369216"",""protein"",""qwen3"",""steps=8920"",""sweep=v1"",""tokens=9.353B"",""tokens_exact=9353297920"",""tpu=v5p-32"",""unmasked"",""wd=0.02""]"
75,eric-czech/marin,prot-exp75-cv1-1_5b-e2-lr5e-4-wd0p05-v1-b8a3b5,prot-exp75-cv1-1_5b-e2-lr5e-4-wd0p05-v1,https://wandb.ai/eric-czech/marin/runs/prot-exp75-cv1-1_5b-e2-lr5e-4-wd0p05-v1-b8a3b5,finished,2026-06-13T13:58:02Z,2026-06-14T10:15:57Z,1,v1,,1_5b,1471369216,tag:params_exact,9353297920,tag:tokens_exact,2,tag:epochs,0.05,config:optimizer.weight_decay,0.0005,config:optimizer.learning_rate,128,config:trainer.train_batch_size,2.981691837310791,eval/contacts-v1-val/loss,8919,"[""1_5b"",""contacts-v1"",""epochs=2"",""exp75"",""grad_accum=1"",""lr=0.0005"",""params=1.471B"",""params_exact=1471369216"",""protein"",""qwen3"",""steps=8920"",""sweep=v1"",""tokens=9.353B"",""tokens_exact=9353297920"",""tpu=v6e-16"",""unmasked"",""wd=0.05""]"
75,eric-czech/marin,prot-exp75-cv1-1_5b-e2-lr5e-4-wd0p1-v1-3cc2bf,prot-exp75-cv1-1_5b-e2-lr5e-4-wd0p1-v1,https://wandb.ai/eric-czech/marin/runs/prot-exp75-cv1-1_5b-e2-lr5e-4-wd0p1-v1-3cc2bf,finished,2026-06-13T15:06:39Z,2026-06-14T09:30:47Z,1,v1,,1_5b,1471369216,tag:params_exact,9353297920,tag:tokens_exact,2,tag:epochs,0.1,config:optimizer.weight_decay,0.0005,config:optimizer.learning_rate,128,config:trainer.train_batch_size,2.986337900161743,eval/contacts-v1-val/loss,8919,"[""1_5b"",""contacts-v1"",""epochs=2"",""exp75"",""grad_accum=1"",""lr=0.0005"",""params=1.471B"",""params_exact=1471369216"",""protein"",""qwen3"",""steps=8920"",""sweep=v1"",""tokens=9.353B"",""tokens_exact=9353297920"",""tpu=v5p-32"",""unmasked"",""wd=0.1""]"
75,eric-czech/marin,prot-exp75-cv1-1_5b-e2-lr7e-4-wd0p02-v1-31b5ec,prot-exp75-cv1-1_5b-e2-lr7e-4-wd0p02-v1,https://wandb.ai/eric-czech/marin/runs/prot-exp75-cv1-1_5b-e2-lr7e-4-wd0p02-v1-31b5ec,finished,2026-06-13T18:02:20Z,2026-06-14T14:19:20Z,1,v1,,1_5b,1471369216,tag:params_exact,9353297920,tag:tokens_exact,2,tag:epochs,0.02,config:optimizer.weight_decay,0.0007,config:optimizer.learning_rate,128,config:trainer.train_batch_size,2.980081558227539,eval/contacts-v1-val/loss,8919,"[""1_5b"",""contacts-v1"",""epochs=2"",""exp75"",""grad_accum=1"",""lr=0.0007"",""params=1.471B"",""params_exact=1471369216"",""protein"",""qwen3"",""steps=8920"",""sweep=v1"",""tokens=9.353B"",""tokens_exact=9353297920"",""tpu=v6e-16"",""unmasked"",""wd=0.02""]"
75,eric-czech/marin,prot-exp75-cv1-1_5b-e2-lr7e-4-wd0p05-v1-0e0b4f,prot-exp75-cv1-1_5b-e2-lr7e-4-wd0p05-v1,https://wandb.ai/eric-czech/marin/runs/prot-exp75-cv1-1_5b-e2-lr7e-4-wd0p05-v1-0e0b4f,finished,2026-06-13T16:47:43Z,2026-06-14T13:21:30Z,1,v1,,1_5b,1471369216,tag:params_exact,9353297920,tag:tokens_exact,2,tag:epochs,0.05,config:optimizer.weight_decay,0.0007,config:optimizer.learning_rate,128,config:trainer.train_batch_size,2.9786593914031982,eval/contacts-v1-val/loss,8919,"[""1_5b"",""contacts-v1"",""epochs=2"",""exp75"",""grad_accum=1"",""lr=0.0007"",""params=1.471B"",""params_exact=1471369216"",""protein"",""qwen3"",""steps=8920"",""sweep=v1"",""tokens=9.353B"",""tokens_exact=9353297920"",""tpu=v6e-16"",""unmasked"",""wd=0.05""]"
